timestamp,track_id,class_name,x1,y1,x2,y2,speed,direction
1748782721.358356,115,car,7,409,58,664,34.89,-64.5
1748782721.358356,100,person,1070,424,1118,559,0.00,0.0
1748782721.358356,121,person,1002,438,1038,564,0.00,0.0
1748782721.358356,110,bicycle,634,528,721,714,0.00,0.0
1748782721.410911,41,person,891,418,995,621,2.12,-45.0
1748782721.410911,88,person,430,336,573,699,11.72,129.8
1748782721.410911,17,bus,388,240,685,578,24.19,-60.3
1748782721.410911,99,car,245,419,392,554,39.63,60.5
1748782721.410911,101,person,780,382,879,661,15.07,84.3
1748782721.410911,104,bicycle,798,540,869,692,18.12,-24.4
1748782721.410911,112,person,627,388,734,687,32.76,-74.1
1748782721.410911,113,car,57,408,201,603,54.02,-1.6
1748782721.410911,82,car,895,380,934,427,3.00,-90.0
1748782721.410911,115,car,11,377,74,664,56.60,-58.0
1748782721.410911,121,person,1000,428,1039,564,15.07,-95.7
1748782721.410911,110,bicycle,638,527,723,709,12.73,-45.0
1748782721.464481,41,person,891,417,996,621,2.12,-45.0
1748782721.464481,88,person,428,336,569,695,10.82,-146.3
1748782721.464481,17,bus,389,242,691,586,18.31,55.0
1748782721.464481,99,car,247,413,399,553,17.10,-37.9
1748782721.464481,101,person,784,382,881,657,10.82,-33.7
1748782721.464481,104,bicycle,801,540,871,691,7.65,-11.3
1748782721.464481,112,person,632,383,733,668,36.50,-80.5
1748782721.464481,113,car,66,409,213,602,31.50,0.0
1748782721.464481,82,car,894,381,935,429,4.50,90.0
1748782721.464481,115,car,15,367,84,663,26.71,-38.2
1748782721.464481,121,person,1000,426,1040,566,1.50,0.0
1748782721.464481,110,bicycle,640,526,723,706,6.71,-63.4
1748782721.464481,125,car,869,401,924,438,0.00,0.0
1748782721.516191,41,person,891,417,996,621,0.00,0.0
1748782721.516191,88,person,428,337,568,694,1.50,180.0
1748782721.516191,17,bus,390,243,692,588,5.41,56.3
1748782721.516191,99,car,248,412,401,553,4.74,-18.4
1748782721.516191,101,person,785,382,882,656,3.35,-26.6
1748782721.516191,104,bicycle,801,541,871,690,0.00,0.0
1748782721.516191,112,person,633,381,733,661,13.58,-83.7
1748782721.516191,113,car,68,409,218,602,10.50,0.0
1748782721.516191,82,car,894,381,935,430,1.50,90.0
1748782721.516191,115,car,15,364,90,663,10.06,-26.6
1748782721.516191,121,person,1000,427,1040,567,3.00,90.0
1748782721.516191,110,bicycle,641,527,723,705,1.50,0.0
1748782721.516191,125,car,869,400,925,438,2.12,-45.0
1748782721.516191,127,bicycle,462,540,533,704,0.00,0.0
1748782721.5698402,41,person,890,417,995,623,4.24,135.0
1748782721.5698402,88,person,430,341,565,683,10.61,-98.1
1748782721.5698402,17,bus,399,246,687,572,20.40,-72.9
1748782721.5698402,99,car,258,426,396,553,22.30,70.3
1748782721.5698402,101,person,785,381,882,655,3.00,-90.0
1748782721.5698402,104,bicycle,801,533,874,690,12.82,-69.4
1748782721.5698402,112,person,634,382,734,662,4.24,45.0
1748782721.5698402,113,car,77,409,229,601,30.04,-2.9
1748782721.5698402,82,car,895,381,935,428,3.35,-63.4
1748782721.5698402,115,car,17,366,97,665,14.77,24.0
1748782721.5698402,110,bicycle,641,531,720,704,6.36,135.0
1748782721.5698402,125,car,868,406,917,439,17.10,142.1
1748782721.5698402,127,bicycle,458,541,528,703,13.50,180.0
1748782721.620485,41,person,887,417,993,624,7.65,168.7
1748782721.620485,88,person,436,345,560,657,33.03,-87.4
1748782721.620485,17,bus,408,250,682,559,14.77,-66.0
1748782721.620485,99,car,267,437,396,552,20.18,48.0
1748782721.620485,101,person,788,384,883,654,6.71,26.6
1748782721.620485,104,bicycle,803,533,875,689,4.74,-18.4
1748782721.620485,112,person,634,383,733,664,4.74,108.4
1748782721.620485,113,car,92,410,243,600,43.50,0.0
1748782721.620485,115,car,23,366,109,662,27.37,-9.5
1748782721.620485,110,bicycle,642,524,724,701,16.77,-63.4
1748782721.620485,125,car,865,406,917,441,5.41,146.3
1748782721.620485,127,bicycle,456,545,522,697,12.37,-166.0
1748782721.674498,41,person,886,420,992,625,6.71,116.6
1748782721.674498,88,person,437,346,559,650,9.00,-90.0
1748782721.674498,17,bus,411,250,678,549,15.07,-95.7
1748782721.674498,99,car,271,440,397,551,8.08,21.8
1748782721.674498,101,person,789,386,882,652,0.00,0.0
1748782721.674498,104,bicycle,805,532,877,688,6.71,-26.6
1748782721.674498,112,person,633,384,734,670,10.50,90.0
1748782721.674498,113,car,107,410,256,599,42.03,-2.0
1748782721.674498,115,car,26,364,118,658,20.12,-26.6
1748782721.674498,110,bicycle,642,513,727,699,20.01,-77.0
1748782721.674498,125,car,864,408,915,442,6.36,135.0
1748782721.674498,127,bicycle,444,500,528,694,72.56,-97.1
1748782721.726026,41,person,885,420,991,625,3.00,180.0
1748782721.726026,88,person,438,346,559,648,3.35,-63.4
1748782721.726026,17,bus,412,250,678,546,4.74,-71.6
1748782721.726026,99,car,272,442,398,551,4.24,45.0
1748782721.726026,101,person,790,387,882,651,1.50,0.0
1748782721.726026,104,bicycle,805,530,878,687,4.74,-71.6
1748782721.726026,112,person,633,384,734,673,4.50,90.0
1748782721.726026,113,car,112,411,260,598,13.50,0.0
1748782721.726026,115,car,25,364,123,657,6.18,-14.0
1748782721.726026,110,bicycle,642,509,728,699,6.18,-76.0
1748782721.726026,125,car,864,409,914,443,3.35,116.6
1748782721.726026,127,bicycle,441,486,530,693,22.55,-93.8
1748782721.785356,41,person,885,421,990,626,3.35,116.6
1748782721.785356,88,person,436,347,559,650,5.41,123.7
1748782721.785356,17,bus,407,251,685,560,22.70,82.4
1748782721.785356,99,car,274,442,400,551,6.00,0.0
1748782721.785356,101,person,791,388,881,648,3.00,-90.0
1748782721.785356,104,bicycle,805,534,877,688,7.65,101.3
1748782721.785356,112,person,632,384,733,674,3.35,153.4
1748782721.785356,113,car,114,411,262,598,6.00,0.0
1748782721.785356,115,car,26,366,129,657,10.92,15.9
1748782721.785356,110,bicycle,642,505,728,697,9.00,-90.0
1748782721.785356,127,bicycle,444,497,528,690,12.09,82.9
1748782721.785356,82,car,879,382,928,440,0.00,0.0
1748782721.849031,41,person,883,424,988,628,9.60,128.7
1748782721.849031,88,person,434,348,561,662,19.50,90.0
1748782721.849031,17,bus,409,254,688,563,11.72,50.2
1748782721.849031,99,car,277,443,405,552,12.37,14.0
1748782721.849031,101,person,790,389,880,647,3.00,180.0
1748782721.849031,104,bicycle,806,540,875,688,9.12,99.5
1748782721.849031,112,person,633,383,731,668,10.61,-98.1
1748782721.849031,113,car,131,415,274,597,43.73,5.9
1748782721.849031,115,car,30,363,140,652,25.50,-28.1
1748782721.849031,110,bicycle,645,516,727,697,16.77,79.7
1748782721.849031,100,person,1057,429,1108,566,0.00,0.0
1748782721.901937,41,person,881,423,987,629,4.50,180.0
1748782721.901937,88,person,436,348,561,654,12.37,-76.0
1748782721.901937,17,bus,421,255,680,539,35.02,-80.1
1748782721.901937,99,car,282,444,409,552,13.58,6.3
1748782721.901937,101,person,790,390,880,648,3.00,90.0
1748782721.901937,104,bicycle,806,537,876,685,9.12,-80.5
1748782721.901937,112,person,634,383,730,663,7.50,-90.0
1748782721.901937,113,car,142,418,281,596,27.17,6.3
1748782721.901937,115,car,33,363,150,649,20.01,-13.0
1748782721.901937,110,bicycle,647,527,724,696,15.07,95.7
1748782721.901937,100,person,1055,428,1108,565,4.24,-135.0
